Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","BTN_UP","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR_NoHoles",80.175000,-152.146000,0.000000,top
"SW2","BTN_RIGHT","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR_NoHoles",94.996000,-164.846000,0.000000,top
"SW3","BTN_SELECT","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR_NoHoles",87.630000,-195.326000,0.000000,top
"SW4","BTN_DOWN","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR_NoHoles",80.010000,-177.546000,0.000000,top
"SW5","BTN_A","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR_NoHoles",132.537200,-158.242000,0.000000,top
"SW6","BTN_START","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR_NoHoles",106.680000,-195.326000,0.000000,top
"SW7","BTN_LEFT","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR_NoHoles",65.024000,-164.846000,0.000000,top
"SW8","BTN_B","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR_NoHoles",120.650000,-171.704000,0.000000,top
"SW9","BTN_USRDEF","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR_NoHoles",54.102000,-147.955000,0.000000,top
"SW10","SW_DPDT_x2","SW_DPDT_Power_Switch",97.790000,-139.065000,0.000000,top
"U4","IRM-3638T","Vishay_MINICAST-3Pin",100.965000,-39.760000,180.000000,top
"U5","GM12864T-5D_SPILCD","GM12864T-5D",97.790000,-92.456000,0.000000,top
"U6","TPS63001","Texas_DRC0010J_ThermalVias_LargeHoles",84.074000,-137.922000,0.000000,top
